level_id,locale,tier,learning_objective,correctness_review,language_review,age_review,cultural_review,accessibility_review,reviewer,review_date,status,notes
cb-lv003,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv004,en,junior,color classification,,,,,,,,pending,
cb-lv004,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv005,en,junior,color classification,,,,,,,,pending,
cb-lv005,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv006,en,junior,color classification,,,,,,,,pending,
cb-lv006,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv007,en,junior,color classification,,,,,,,,pending,
cb-lv007,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv008,en,junior,color classification,,,,,,,,pending,
cb-lv008,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv009,en,junior,color classification,,,,,,,,pending,
cb-lv009,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv010,en,junior,color classification,,,,,,,,pending,
cb-lv010,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv011,en,junior,color classification,,,,,,,,pending,
cb-lv011,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv012,en,junior,color classification,,,,,,,,pending,
cb-lv012,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv013,en,junior,color classification,,,,,,,,pending,
cb-lv013,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv014,en,junior,color classification,,,,,,,,pending,
cb-lv014,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv015,en,junior,color classification,,,,,,,,pending,
cb-lv015,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv016,en,junior,color classification,,,,,,,,pending,
cb-lv016,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv017,en,junior,color classification,,,,,,,,pending,
cb-lv017,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv018,en,junior,color classification,,,,,,,,pending,
cb-lv018,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv019,en,junior,color classification,,,,,,,,pending,
cb-lv019,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv020,en,junior,color classification,,,,,,,,pending,
cb-lv020,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv021,en,explorer,color classification,,,,,,,,pending,
cb-lv021,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv022,en,explorer,color classification,,,,,,,,pending,
cb-lv022,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv023,en,explorer,color classification,,,,,,,,pending,
cb-lv023,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv024,en,explorer,color classification,,,,,,,,pending,
cb-lv024,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv025,en,explorer,color classification,,,,,,,,pending,
cb-lv025,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv026,en,explorer,color classification,,,,,,,,pending,
cb-lv026,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv027,en,explorer,color classification,,,,,,,,pending,
cb-lv027,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv028,en,explorer,color classification,,,,,,,,pending,
cb-lv028,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv029,en,explorer,color classification,,,,,,,,pending,
cb-lv029,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv030,en,explorer,color classification,,,,,,,,pending,
cb-lv030,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv031,en,explorer,color classification,,,,,,,,pending,
cb-lv031,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv032,en,explorer,color classification,,,,,,,,pending,
cb-lv032,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv033,en,explorer,color classification,,,,,,,,pending,
cb-lv033,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv034,en,explorer,color classification,,,,,,,,pending,
cb-lv034,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv035,en,explorer,color classification,,,,,,,,pending,
cb-lv035,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv036,en,explorer,color classification,,,,,,,,pending,
cb-lv036,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv037,en,explorer,color classification,,,,,,,,pending,
cb-lv037,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv038,en,explorer,color classification,,,,,,,,pending,
cb-lv038,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv039,en,explorer,color classification,,,,,,,,pending,
cb-lv039,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv040,en,explorer,color classification,,,,,,,,pending,
cb-lv040,vi,explorer,phân loại màu sắc,,,,,,,,pending,
cb-lv041,en,master,color classification,,,,,,,,pending,
cb-lv041,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv042,en,master,color classification,,,,,,,,pending,
cb-lv042,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv043,en,master,color classification,,,,,,,,pending,
cb-lv043,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv044,en,master,color classification,,,,,,,,pending,
cb-lv044,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv045,en,master,color classification,,,,,,,,pending,
cb-lv045,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv046,en,master,color classification,,,,,,,,pending,
cb-lv046,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv047,en,master,color classification,,,,,,,,pending,
cb-lv047,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv048,en,master,color classification,,,,,,,,pending,
cb-lv048,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv049,en,master,color classification,,,,,,,,pending,
cb-lv049,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv050,en,master,color classification,,,,,,,,pending,
cb-lv050,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv051,en,master,color classification,,,,,,,,pending,
cb-lv051,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv052,en,master,color classification,,,,,,,,pending,
cb-lv052,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv053,en,master,color classification,,,,,,,,pending,
cb-lv053,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv054,en,master,color classification,,,,,,,,pending,
cb-lv054,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv055,en,master,color classification,,,,,,,,pending,
cb-lv055,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv056,en,master,color classification,,,,,,,,pending,
cb-lv056,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv057,en,master,color classification,,,,,,,,pending,
cb-lv057,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv058,en,master,color classification,,,,,,,,pending,
cb-lv058,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv059,en,master,color classification,,,,,,,,pending,
cb-lv059,vi,master,phân loại màu sắc,,,,,,,,pending,
cb-lv060,en,master,color classification,,,,,,,,pending,
cb-lv060,vi,master,phân loại màu sắc,,,,,,,,pending,
ah-lv001,en,junior,life-science association,,,,,,,,pending,
ah-lv001,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv002,en,junior,life-science association,,,,,,,,pending,
ah-lv002,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv003,en,junior,life-science association,,,,,,,,pending,
ah-lv003,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv004,en,junior,life-science association,,,,,,,,pending,
ah-lv004,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv005,en,junior,life-science association,,,,,,,,pending,
ah-lv005,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv006,en,junior,life-science association,,,,,,,,pending,
ah-lv006,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv007,en,junior,life-science association,,,,,,,,pending,
ah-lv007,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv008,en,junior,life-science association,,,,,,,,pending,
ah-lv008,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv009,en,junior,life-science association,,,,,,,,pending,
ah-lv009,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv010,en,junior,life-science association,,,,,,,,pending,
ah-lv010,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv011,en,junior,life-science association,,,,,,,,pending,
ah-lv011,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv012,en,junior,life-science association,,,,,,,,pending,
ah-lv012,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv013,en,junior,life-science association,,,,,,,,pending,
ah-lv013,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv014,en,junior,life-science association,,,,,,,,pending,
ah-lv014,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv015,en,junior,life-science association,,,,,,,,pending,
ah-lv015,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv016,en,junior,life-science association,,,,,,,,pending,
ah-lv016,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv017,en,junior,life-science association,,,,,,,,pending,
ah-lv017,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv018,en,junior,life-science association,,,,,,,,pending,
ah-lv018,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv019,en,junior,life-science association,,,,,,,,pending,
ah-lv019,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv020,en,junior,life-science association,,,,,,,,pending,
ah-lv020,vi,junior,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv021,en,explorer,life-science association,,,,,,,,pending,
ah-lv021,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv022,en,explorer,life-science association,,,,,,,,pending,
ah-lv022,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv023,en,explorer,life-science association,,,,,,,,pending,
ah-lv023,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv024,en,explorer,life-science association,,,,,,,,pending,
ah-lv024,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv025,en,explorer,life-science association,,,,,,,,pending,
ah-lv025,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv026,en,explorer,life-science association,,,,,,,,pending,
ah-lv026,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv027,en,explorer,life-science association,,,,,,,,pending,
ah-lv027,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv028,en,explorer,life-science association,,,,,,,,pending,
ah-lv028,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv029,en,explorer,life-science association,,,,,,,,pending,
ah-lv029,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv030,en,explorer,life-science association,,,,,,,,pending,
ah-lv030,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv031,en,explorer,life-science association,,,,,,,,pending,
ah-lv031,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv032,en,explorer,life-science association,,,,,,,,pending,
ah-lv032,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv033,en,explorer,life-science association,,,,,,,,pending,
ah-lv033,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv034,en,explorer,life-science association,,,,,,,,pending,
ah-lv034,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv035,en,explorer,life-science association,,,,,,,,pending,
ah-lv035,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv036,en,explorer,life-science association,,,,,,,,pending,
ah-lv036,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv037,en,explorer,life-science association,,,,,,,,pending,
ah-lv037,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv038,en,explorer,life-science association,,,,,,,,pending,
ah-lv038,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv039,en,explorer,life-science association,,,,,,,,pending,
ah-lv039,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv040,en,explorer,life-science association,,,,,,,,pending,
ah-lv040,vi,explorer,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv041,en,master,life-science association,,,,,,,,pending,
ah-lv041,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv042,en,master,life-science association,,,,,,,,pending,
ah-lv042,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv043,en,master,life-science association,,,,,,,,pending,
ah-lv043,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv044,en,master,life-science association,,,,,,,,pending,
ah-lv044,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv045,en,master,life-science association,,,,,,,,pending,
ah-lv045,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv046,en,master,life-science association,,,,,,,,pending,
ah-lv046,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv047,en,master,life-science association,,,,,,,,pending,
ah-lv047,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv048,en,master,life-science association,,,,,,,,pending,
ah-lv048,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv049,en,master,life-science association,,,,,,,,pending,
ah-lv049,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv050,en,master,life-science association,,,,,,,,pending,
ah-lv050,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv051,en,master,life-science association,,,,,,,,pending,
ah-lv051,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv052,en,master,life-science association,,,,,,,,pending,
ah-lv052,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv053,en,master,life-science association,,,,,,,,pending,
ah-lv053,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv054,en,master,life-science association,,,,,,,,pending,
ah-lv054,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv055,en,master,life-science association,,,,,,,,pending,
ah-lv055,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv056,en,master,life-science association,,,,,,,,pending,
ah-lv056,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv057,en,master,life-science association,,,,,,,,pending,
ah-lv057,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv058,en,master,life-science association,,,,,,,,pending,
ah-lv058,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv059,en,master,life-science association,,,,,,,,pending,
ah-lv059,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
ah-lv060,en,master,life-science association,,,,,,,,pending,
ah-lv060,vi,master,ghép cặp khoa học sự sống,,,,,,,,pending,
dr-lv001,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv001,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv002,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv002,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv003,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv003,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv004,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv004,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv005,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv005,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv006,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv006,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv007,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv007,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv008,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv008,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv009,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv009,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv010,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv010,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv011,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv011,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv012,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv012,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv013,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv013,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv014,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv014,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv015,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv015,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv016,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv016,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv017,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv017,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv018,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv018,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv019,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv019,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv020,en,junior,daily routine sequencing,,,,,,,,pending,
dr-lv020,vi,junior,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv021,en,explorer,daily routine sequencing,,,,,,,,pending,
dr-lv021,vi,explorer,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv022,en,explorer,daily routine sequencing,,,,,,,,pending,
dr-lv022,vi,explorer,sắp xếp trình tự sinh hoạt hằng ngày,,,,,,,,pending,
dr-lv023,en,explorer,daily routine sequencing,,,,,,,,pending,
